# Time-averaged data for fix rdf300out
# TimeStep Number-of-rows
# Row c_rdf300[1] c_rdf300[2] c_rdf300[3] c_rdf300[4] c_rdf300[5] c_rdf300[6] c_rdf300[7] c_rdf300[8] c_rdf300[9] c_rdf300[10] c_rdf300[11] c_rdf300[12] c_rdf300[13] c_rdf300[14] c_rdf300[15] c_rdf300[16] c_rdf300[17] c_rdf300[18] c_rdf300[19] c_rdf300[20] c_rdf300[21]
10000 200
131 3.915 1.54368 14.0636 1.58266 1.60301 0.11894 0.202659 1.24632 0.209585 1.31938 0.354598 1.32424 0.0749279 0.403321 0.211753 0.441513 0.224227 1.21653 0.233123 0 0.247945
132 3.945 2.04387 14.9716 1.96619 1.69996 0.141429 0.203329 1.42707 0.218449 1.43637 0.369177 1.57552 0.0786106 0.232907 0.212857 0.979454 0.228866 1.19874 0.238801 0 0.247945
133 3.975 2.46058 16.0815 2.28149 1.81418 0.161757 0.204108 1.68104 0.22905 1.56302 0.385284 1.90708 0.0831364 0.269967 0.214156 0.856646 0.23299 0.982906 0.243533 0.854628 0.252055
134 4.005 2.68724 17.3119 2.43277 1.93782 0.216891 0.205167 1.68973 0.239867 1.56527 0.401658 2.01922 0.0880009 0.451946 0.216364 1.3713 0.239691 0.710598 0.247003 0 0.252055
135 4.035 2.65288 18.5449 2.34891 2.05899 0.308211 0.206695 1.6658 0.250692 1.65466 0.419227 2.03364 0.0929735 0.602434 0.219351 1.24747 0.245876 0.700353 0.250473 0.552799 0.254795
136 4.065 2.34845 19.6527 2.11847 2.1699 0.388151 0.208648 1.66981 0.261704 1.52808 0.435695 2.06166 0.0980902 0.683908 0.222792 1.12623 0.251546 1.19154 0.256467 0.271788 0.256164
137 4.095 1.92289 20.5731 1.73786 2.26223 0.594145 0.211682 1.57102 0.272218 1.43454 0.451384 1.84006 0.102724 1.0936 0.228377 0.908802 0.256186 0.864605 0.260883 0.536173 0.258904
138 4.125 1.41402 21.26 1.36912 2.33604 0.785806 0.215754 1.2903 0.280982 1.31308 0.465956 1.53979 0.106659 1.09051 0.234026 1.09459 0.261856 0.913588 0.265615 0.264301 0.260274
139 4.155 0.963098 21.7346 0.983771 2.38985 0.925291 0.220618 1.15785 0.288959 1.18853 0.479338 1.20341 0.109779 1.2229 0.240455 2.55019 0.275258 1.20133 0.271924 0.260826 0.261644
140 4.185 0.621436 22.0453 0.694799 2.42841 1.34043 0.227767 0.955617 0.29564 0.97971 0.49053 0.915014 0.112187 1.65586 0.249286 2.12699 0.286598 0.591361 0.275079 0.770787 0.265753
